OID_,Point,QR_code,c_0_15,c_15_30,mean_carb,log_10,mgmt
151,217,E28AA1A438,2.3640001,1.310000000000000,1.8370000,0.2641090,3
152,219,32B620E0CA,3.3350000,2.589000000000000,2.9619999,0.4715850,2
153,220,E9186A0BC5,4.0539999,5.095000000000000,4.5745001,0.6603440,2
154,222,820CFBF2A2,3.2800000,2.876000000000000,3.0780001,0.4882690,3
155,225,3549F44C98,2.1459999,1.385000000000000,1.7654999,0.2468680,4
156,227,8D5599BF4B,1.9180000,1.286000000000000,1.6020000,0.2046630,3
157,228,19A4EC4800,2.3360000,0.750000000000000,1.5430000,0.1883660,3
158,236,67D81623F2,2.6930001,1.502000000000000,2.0975001,0.3217020,3
159,237,37E7B9DA4C,8.1479998,1.022000000000000,4.5850000,0.6613390,4
160,238,E286A27F98,2.7070000,6.109000000000000,4.4080000,0.6442420,4
161,239,850BA0DE7E,5.2639999,2.809000000000000,4.0365000,0.6060050,3
162,240,CE139AA1BA,2.8169999,1.570000000000000,2.1935000,0.3411380,4
163,241,255A0852A2,3.3380001,3.626000000000000,3.4820001,0.5418290,4
164,244,D70DB9327B,2.9280000,1.463000000000000,2.1954999,0.3415330,3
165,245,41559A2668,2.0969999,1.143000000000000,1.6200000,0.2095150,4
166,247,36BC7A9468,2.9050000,1.035000000000000,1.9700000,0.2944660,4
167,248,9DD7B236A8,3.0009999,1.794000000000000,2.3975000,0.3797590,4
168,249,2DF6174692,2.7320001,2.202000000000000,2.4670000,0.3921690,4
169,250,78A7B6B357,2.4360001,2.675000000000000,2.5555000,0.4074760,3
170,250,78A7B6B357,2.4360001,2.675000000000000,2.5555000,0.4074760,3
171,251,8BF74359C2,2.7190001,1.289000000000000,2.0039999,0.3018980,4
172,255,8EC8EB9016,2.7650001,2.355000000000000,2.5599999,0.4082400,4
173,258,935EDC6583,1.2740000,0.650000000000000,0.9620000,-0.0168249,3
174,259,64F2AEBD8C,2.9700000,4.436000000000000,3.7030001,0.5685540,4
175,260,4D5D2D550F,3.5599999,2.063000000000000,2.8115001,0.4489380,4
176,262,ECBF0B3D61,2.7690001,1.966000000000000,2.3675001,0.3742900,4
177,263,CF88ACF0DE,2.5079999,1.138000000000000,1.8230000,0.2607870,4
178,263,EF0F7FFB57,2.5079999,1.394000000000000,1.9510000,0.2902570,4
179,266,D52A38F531,3.0090001,2.004000000000000,2.5065000,0.3990680,3
180,268,1981A4BA44,2.3620000,1.525000000000000,1.9435000,0.2885850,3
181,269,ADC9CD7B53,2.8859999,1.107000000000000,1.9965000,0.3002690,3
182,271,A961F77C31,2.6199999,1.381000000000000,2.0005000,0.3011390,3
183,272,BF8E95EFD6,1.8150001,1.190000000000000,1.5025001,0.1768140,4
184,273,69EA26ADD3,1.7230000,1.255000000000000,1.4890000,0.1728950,4
185,274,CFA01906BA,2.7780001,1.764000000000000,2.2709999,0.3562170,4
186,275,4B0EECFFDC,3.3640001,2.480000000000000,2.9219999,0.4656800,4
187,277,69007DFDCA,2.3169999,1.201000000000000,1.7589999,0.2452660,3
188,278,E6714A6723,3.0550001,2.115000000000000,2.5850000,0.4124610,4
189,279,9A7914E422,2.2660000,1.559000000000000,1.9125000,0.2816010,4
190,280,F2D52AE442,1.4240000,0.825000000000000,1.1245000,0.0509595,4
191,282,331B9622A8,1.7720000,1.123000000000000,1.4475000,0.1606190,4
192,284,37FBD7BF58,2.5100000,1.159000000000000,1.8345000,0.2635180,3
193,284,479A593D50,2.5100000,1.689000000000000,2.0994999,0.3221160,3
194,287,97899A1854,5.6450000,6.302000000000000,5.9734998,0.7762290,3
195,291,82C167E1AD,2.0139999,1.055000000000000,1.5345000,0.1859670,4
196,294,B932A2D19B,2.2590001,1.048000000000000,1.6535000,0.2184040,4
197,297,63BFBAD8B7,1.6890000,1.056000000000000,1.3724999,0.1375120,4
198,300,DB1FD01A32,2.0610001,1.140000000000000,1.6005000,0.2042560,4
199,302,5C99ECA057,2.6500001,1.187000000000000,1.9184999,0.2829620,4
200,303,9D39D39908,1.9850000,0.907000000000000,1.4460000,0.1601680,4
201,304,07A696950F,4.1360002,2.414000000000000,3.2750001,0.5152110,4
202,304,07A696950F,4.1360002,2.414000000000000,3.2750001,0.5152110,4
203,306,DA3AE5D990,3.3450000,1.628000000000000,2.4865000,0.3955880,4
204,307,115A8651FD,3.6550000,1.166000000000000,2.4105000,0.3821070,3
205,309,AF6CBECE54,2.4640000,1.178000000000000,1.8210000,0.2603100,3
206,312,157884F8FE,2.2900000,1.437000000000000,1.8635000,0.2703290,4
